DateTime,Class
2023-09-08 01:00:51.395426,[0]
2023-09-08 01:00:52.820260,[0]
2023-09-08 01:01:11.053619,[0]
2023-09-08 01:01:14.179646,[0]
2023-09-08 01:01:15.179646,[0]
2023-09-08 01:01:16.179647,[1]
2023-09-08 01:01:17.179649,[1]
2023-09-08 01:01:18.179650,[0]
2023-09-08 01:01:19.179652,[0]
2023-09-08 01:01:20.179654,[1]
2023-09-08 01:01:21.179656,[1]
2023-09-08 01:01:22.179657,[1]
2023-09-08 01:01:23.179659,[1]
2023-09-08 01:01:24.179659,[1]
2023-09-08 01:01:25.179659,[1]
2023-09-08 01:01:26.179660,[1]
2023-09-08 01:01:27.179661,[1]
2023-09-08 01:01:28.179663,[1]
2023-09-08 01:01:29.179663,[1]
2023-09-08 01:01:30.179665,[1]
2023-09-08 01:01:31.179665,[0]
2023-09-08 01:01:32.179666,[0]
2023-09-08 01:01:33.179668,[0]
2023-09-08 01:01:34.179669,[0]
2023-09-08 01:01:35.179669,[0]
